subject,condition,mean_angle_deg,resultant_len,n_trials
sub-22,avatar_invalid,-179.185262922697,0.357428748353032,47
sub-22,stick_valid,179.450511163773,0.239787895015097,46
sub-22,stick_invalid,-173.287610433433,0.301839340777831,45
sub-23,avatar_valid,-77.8981720541681,0.0599035877798219,53
sub-23,avatar_invalid,-168.089504131885,0.0776318974131467,51
sub-23,stick_valid,163.81297960873,0.0352726877452813,50
sub-23,stick_invalid,-93.0177228276726,0.044911004700655,53
sub-24,avatar_valid,-176.705421939061,0.314959717100963,47
sub-24,avatar_invalid,-171.953303302314,0.350513204852106,51
sub-24,stick_valid,-175.391165568575,0.365239270828576,52
sub-24,stick_invalid,-168.703938024146,0.401267257750713,51
sub-25,avatar_valid,-178.942767903035,0.288311685393442,52
sub-25,avatar_invalid,-176.044515874621,0.315979033233021,52
sub-25,stick_valid,-178.429688296716,0.257079337204144,45
sub-25,stick_invalid,-173.410164483209,0.235826185833384,46
sub-26,avatar_valid,179.750223363694,0.485797576119897,33
sub-26,avatar_invalid,176.063481313305,0.459185343905613,26
sub-26,stick_valid,179.631822850072,0.499168780916213,41
sub-26,stick_invalid,-179.978390362695,0.53760505259972,40
sub-27,avatar_valid,-165.670137798757,0.199547402968961,35
sub-27,avatar_invalid,173.033956193558,0.179390410737836,27
sub-27,stick_valid,-178.004203926918,0.386137581439211,38
sub-27,stick_invalid,-174.783272725782,0.326033991602664,43
sub-28,avatar_valid,179.435503894011,0.213630185494845,49
sub-28,avatar_invalid,178.918129789745,0.24520643154581,50
sub-28,stick_valid,-177.775027311993,0.267275319556174,55
sub-28,stick_invalid,-178.986607955296,0.249950261276053,55
sub-29,avatar_valid,-175.062356631175,0.271728903948783,49
sub-29,avatar_invalid,-172.233694874071,0.290310598385523,47
sub-29,stick_valid,-166.941478600639,0.245011223558184,47
sub-29,stick_invalid,-173.366520841283,0.231055478839878,46
sub-30,avatar_valid,179.806313955781,0.669450439562337,46
sub-30,avatar_invalid,-179.981193097087,0.653536225211476,49
sub-30,stick_valid,-175.234474857047,0.592480479280643,51
sub-30,stick_invalid,-179.332750079614,0.601181943811259,54
sub-31,avatar_valid,-166.102907702181,0.299758905935354,49
sub-31,avatar_invalid,-177.022333823314,0.295775062807307,51
sub-31,stick_valid,179.283093658709,0.257808787896558,50
sub-31,stick_invalid,-173.209846166576,0.260034277576113,49
sub-32,avatar_valid,-175.53123343465,0.365984992493039,47
sub-32,avatar_invalid,-174.775678398897,0.384904246381048,51
sub-32,stick_valid,-174.6449956522,0.433725151191947,47
sub-32,stick_invalid,-178.889774370533,0.412315013366038,48
