pair_band,metric,t,p_uncorr,p_fwer,sig_fwer
gamma_high FC1-CP2,dwpli,-2.17828967238743,0.031,0.8978,0
gamma_high FC1-POz,dwpli,-1.26480587076531,0.2102,1,0
gamma_high FCz-P3,dwpli,-0.0918536136459751,0.9304,1,0
gamma_high FCz-P1,dwpli,-1.59348962177887,0.1206,0.9982,0
gamma_high FCz-Pz,dwpli,-0.639029785108724,0.5372,1,0
gamma_high FCz-P2,dwpli,-0.795175280446623,0.431,1,0
gamma_high FCz-P4,dwpli,-1.70496752463497,0.0954,0.996,0
gamma_high FCz-CP1,dwpli,-0.4844177841364,0.619,1,0
gamma_high FCz-CP2,dwpli,-0.620617203566094,0.5496,1,0
gamma_high FCz-POz,dwpli,-0.89746314304097,0.3932,1,0
gamma_high FC2-P3,dwpli,1.06527919076042,0.2898,1,0
gamma_high FC2-P1,dwpli,-0.798199125747011,0.4284,1,0
gamma_high FC2-Pz,dwpli,-0.633098461287617,0.5384,1,0
gamma_high FC2-P2,dwpli,-0.544072735223897,0.5824,1,0
gamma_high FC2-P4,dwpli,-1.08107308462874,0.2868,1,0
gamma_high FC2-CP1,dwpli,-0.271602998519277,0.7856,1,0
gamma_high FC2-CP2,dwpli,-0.219058306030469,0.825,1,0
gamma_high FC2-POz,dwpli,-0.384182952060709,0.7032,1,0
gamma_low F3-P3,plv,0.68745137233991,0.4964,1,0
gamma_low F3-P1,plv,0.553051707916,0.5778,1,0
gamma_low F3-Pz,plv,0.288737753115708,0.7764,1,0
gamma_low F3-P2,plv,-1.25566861254398,0.217,0.999,0
gamma_low F3-P4,plv,-1.64205202767009,0.1084,0.9556,0
gamma_low F3-CP1,plv,1.71291630685221,0.0908,0.9316,0
gamma_low F3-CP2,plv,0.592352317535233,0.5612,1,0
gamma_low F3-POz,plv,-1.3918814466061,0.1712,0.995,0
gamma_low F1-P3,plv,0.813412554429039,0.4232,1,0
gamma_low F1-P1,plv,0.745494245592713,0.451,1,0
gamma_low F1-Pz,plv,0.192748452419332,0.8552,1,0
gamma_low F1-P2,plv,-1.58248226445518,0.121,0.9728,0
gamma_low F1-P4,plv,-1.96661683192038,0.0496,0.8084,0
gamma_low F1-CP1,plv,1.55991676071933,0.1236,0.978,0
gamma_low F1-CP2,plv,0.469662257726584,0.6498,1,0
gamma_low F1-POz,plv,-0.898023362322329,0.3738,1,0
gamma_low Fz-P3,plv,0.245729850237166,0.809,1,0
gamma_low Fz-P1,plv,0.334044707662492,0.7338,1,0
gamma_low Fz-Pz,plv,0.207060267442532,0.8384,1,0
gamma_low Fz-P2,plv,-1.20032924572816,0.231,0.9996,0
gamma_low Fz-P4,plv,-1.08032838629099,0.2934,1,0
gamma_low Fz-CP1,plv,1.92639823307091,0.0562,0.8312,0
gamma_low Fz-CP2,plv,0.712829651684669,0.5042,1,0
gamma_low Fz-POz,plv,-0.90361131412154,0.3838,1,0
gamma_low F2-P3,plv,-0.252438520503766,0.8014,1,0
gamma_low F2-P1,plv,-0.187630934320714,0.8516,1,0
gamma_low F2-Pz,plv,-0.632678543778227,0.5378,1,0
gamma_low F2-P2,plv,-1.79178498596067,0.0816,0.901,0
gamma_low F2-P4,plv,-1.52566606598122,0.1336,0.9824,0
gamma_low F2-CP1,plv,0.0962034008179559,0.9296,1,0
gamma_low F2-CP2,plv,0.648146376614612,0.5262,1,0
gamma_low F2-POz,plv,-1.73184659210315,0.0956,0.9256,0
gamma_low F4-P3,plv,-1.77264634885888,0.0792,0.9088,0
gamma_low F4-P1,plv,-1.35550544879602,0.179,0.9968,0
gamma_low F4-Pz,plv,-1.15783590169165,0.2532,0.9998,0
gamma_low F4-P2,plv,-2.09237354204762,0.0416,0.7148,0
gamma_low F4-P4,plv,-1.14988520356271,0.2624,0.9998,0
gamma_low F4-CP1,plv,-1.37663625311826,0.1712,0.9958,0
gamma_low F4-CP2,plv,0.125599614799276,0.9002,1,0
gamma_low F4-POz,plv,-2.38268740253799,0.024,0.4884,0
gamma_low FC1-P3,plv,1.31610980457267,0.1892,0.9976,0
gamma_low FC1-P1,plv,1.79266422442035,0.0724,0.901,0
gamma_low FC1-Pz,plv,0.501760615630906,0.6166,1,0
gamma_low FC1-P2,plv,-0.245679385040918,0.817,1,0
gamma_low FC1-P4,plv,-0.844759324440243,0.4138,1,0
gamma_low FC1-CP1,plv,1.52316386566317,0.1308,0.9828,0
gamma_low FC1-CP2,plv,1.27637280468162,0.2138,0.9988,0
gamma_low FC1-POz,plv,-0.110440660486804,0.9166,1,0
gamma_low FCz-P3,plv,1.19343742921947,0.2334,0.9998,0
gamma_low FCz-P1,plv,1.83959787179324,0.0686,0.8784,0
gamma_low FCz-Pz,plv,-0.151048287692613,0.878,1,0
gamma_low FCz-P2,plv,-0.162613433876685,0.8736,1,0
gamma_low FCz-P4,plv,-0.486021986908775,0.6286,1,0
gamma_low FCz-CP1,plv,1.58548423996193,0.1178,0.972,0
gamma_low FCz-CP2,plv,1.7882210631298,0.0738,0.903,0
gamma_low FCz-POz,plv,0.111862835411272,0.9084,1,0
gamma_low FC2-P3,plv,0.334507386224868,0.7382,1,0
gamma_low FC2-P1,plv,1.11498850433207,0.2742,0.9998,0
gamma_low FC2-Pz,plv,0.0447135774276551,0.9668,1,0
gamma_low FC2-P2,plv,-0.260042303392781,0.791,1,0
gamma_low FC2-P4,plv,0.0123931098163549,0.9874,1,0
gamma_low FC2-CP1,plv,0.836312632385527,0.4052,1,0
gamma_low FC2-CP2,plv,1.93010308451047,0.053,0.8278,0
gamma_low FC2-POz,plv,-0.625380048535967,0.5392,1,0
gamma_high F3-P3,plv,-0.209475913374359,0.8284,1,0
gamma_high F3-P1,plv,-0.370342574438554,0.7074,1,0
gamma_high F3-Pz,plv,0.125914983250763,0.8966,1,0
gamma_high F3-P2,plv,-0.676998220665131,0.4968,1,0
gamma_high F3-P4,plv,-1.59918798723406,0.1196,0.9688,0
gamma_high F3-CP1,plv,-0.026147318645366,0.9796,1,0
gamma_high F3-CP2,plv,0.525908218592131,0.5952,1,0
gamma_high F3-POz,plv,-1.44295276168891,0.16,0.992,0
gamma_high F1-P3,plv,0.172555518149277,0.8658,1,0
gamma_high F1-P1,plv,0.0461126970584742,0.9584,1,0
gamma_high F1-Pz,plv,0.434864759014794,0.6712,1,0
gamma_high F1-P2,plv,-0.662807276793753,0.508,1,0
gamma_high F1-P4,plv,-1.39686924116398,0.1784,0.995,0
gamma_high F1-CP1,plv,-0.268657839743514,0.7952,1,0
gamma_high F1-CP2,plv,-0.0791716304057273,0.938,1,0
gamma_high F1-POz,plv,-1.39836576886224,0.1724,0.9948,0
gamma_high Fz-P3,plv,0.115231895655596,0.907,1,0
gamma_high Fz-P1,plv,0.538731695637424,0.5824,1,0
gamma_high Fz-Pz,plv,0.77598682106544,0.4384,1,0
gamma_high Fz-P2,plv,0.226704922902923,0.8272,1,0
gamma_high Fz-P4,plv,-0.63868065629448,0.5308,1,0
gamma_high Fz-CP1,plv,-0.180903316628714,0.8504,1,0
gamma_high Fz-CP2,plv,-0.480275444819376,0.6346,1,0
gamma_high Fz-POz,plv,-1.01990018307321,0.318,1,0
gamma_high F2-P3,plv,-0.387092423901801,0.6954,1,0
gamma_high F2-P1,plv,-0.145242506999765,0.8786,1,0
gamma_high F2-Pz,plv,0.116598953414093,0.9062,1,0
gamma_high F2-P2,plv,-0.231514832559659,0.8152,1,0
gamma_high F2-P4,plv,-1.40742229032209,0.1662,0.9944,0
gamma_high F2-CP1,plv,-0.462692016536701,0.6616,1,0
gamma_high F2-CP2,plv,0.0351338413147527,0.9758,1,0
gamma_high F2-POz,plv,-1.76416698490724,0.087,0.9126,0
gamma_high F4-P3,plv,-1.25286027266329,0.2118,0.999,0
gamma_high F4-P1,plv,-0.865831555917003,0.386,1,0
gamma_high F4-Pz,plv,-0.19774942783601,0.8414,1,0
gamma_high F4-P2,plv,-0.385788133928601,0.6926,1,0
gamma_high F4-P4,plv,-0.867134971888595,0.3968,1,0
gamma_high F4-CP1,plv,-0.54621335770828,0.5922,1,0
gamma_high F4-CP2,plv,-0.103452751886116,0.921,1,0
gamma_high F4-POz,plv,-2.12046828293749,0.0444,0.6926,0
gamma_high FC1-P3,plv,0.614893526944765,0.5296,1,0
gamma_high FC1-P1,plv,0.745475167049423,0.452,1,0
gamma_high FC1-Pz,plv,0.34530954891049,0.737,1,0
gamma_high FC1-P2,plv,-0.189137069304974,0.8532,1,0
gamma_high FC1-P4,plv,-1.10921201756303,0.2828,0.9998,0
gamma_high FC1-CP1,plv,0.819969348973547,0.42,1,0
gamma_high FC1-CP2,plv,1.46534233065111,0.1474,0.9894,0
gamma_high FC1-POz,plv,-0.786697686640672,0.4408,1,0
gamma_high FCz-P3,plv,0.385195148462574,0.694,1,0
gamma_high FCz-P1,plv,0.612242200171361,0.5418,1,0
gamma_high FCz-Pz,plv,-0.30398376341818,0.7682,1,0
gamma_high FCz-P2,plv,0.157384617746947,0.871,1,0
gamma_high FCz-P4,plv,-0.747216569209977,0.4584,1,0
gamma_high FCz-CP1,plv,0.346525652352229,0.7258,1,0
gamma_high FCz-CP2,plv,1.62043410584775,0.1092,0.9624,0
gamma_high FCz-POz,plv,-0.571838055752751,0.5748,1,0
gamma_high FC2-P3,plv,0.0405576421949619,0.968,1,0
gamma_high FC2-P1,plv,0.202259944514857,0.845,1,0
gamma_high FC2-Pz,plv,0.0732373136054338,0.9462,1,0
gamma_high FC2-P2,plv,0.401786131643422,0.6846,1,0
gamma_high FC2-P4,plv,-0.250695245476692,0.8056,1,0
gamma_high FC2-CP1,plv,-0.471767347001377,0.6458,1,0
gamma_high FC2-CP2,plv,1.72244442062345,0.0856,0.9292,0
gamma_high FC2-POz,plv,-0.689259303500356,0.493,1,0
